task,model_key,model_id,reported_model,model_match,state,attempts,official_success,official_message,official_details,validator_error_line,solver_success,solver_message,solver_duration,cost_usd,input_tokens,output_tokens,is_rate_limited,run_name,result_json,solver_result_json,artifact_dir,trajectory_log,console_log,archive_sha256,validator_sha256,started_at,finished_at,exit_code,classification
task_0019,gpt56_sol,openai/gpt-5.6-sol,,,completed,1,False,MuzzleFireLeft must use the muzzle flash shader material,{},,True,"Implemented the layered muzzle flash prefab in [muzzle_flash_effect.tscn](/workspace/scenes/effects/muzzle_flash_effect.tscn).

- Added `generic_effect_handler.gd` and 0.2s light fade.
- Added `MuzzleFlash` OmniLight3D.
- Added zero-gravity billboard smoke particles with radial `GradientTexture2D`.
- Added opposing one-shot `MuzzleFireLeft` and `MuzzleFireRight` systems using the provided shader and QuadMeshes.
- Confirmed `main.tscn` instantiates the prefab.
- Validated successfully with Godot 4.4.1 and rendered captures showing the fire burst and smoke fade.",186.0090708732605,0.035733,46584,2991,False,gpt56_sol_opencode_high_video_20260924_214738_task_0019_7943,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/results/gpt56_sol_opencode_high_video_20260924_214738_task_0019_7943/task_task_0019.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_214738_task_0019_7943/task_0019_opencode_20260924_215103/result.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_214738_task_0019_7943/task_0019_opencode_20260924_215103,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_214738_task_0019_7943/task_0019_opencode_20260924_215103/agent_trajectory.log,/mnt/d/ShaderAgent/re/gamedevbench-environment/batch_runs/gpt56_sol_shader/workers/task_0019/console/task_0019_attempt_1.log,3774dfe3652c40e64bda5b16628173123293cb093939c6b5f20926c716b19cb2,785317f1b6fbedea31e1d52286fa56333f55b5ebff6ac10039d6b47b79684b1d,2026-09-24T13:47:37+00:00,2026-09-24T13:51:04+00:00,1,official_fail_review_needed
task_0033,gpt56_sol,openai/gpt-5.6-sol,,,completed,1,False,ArcingChunks must use a StandardMaterial3D override,{},35,False,OpenCode execution timed out after 600s,600.0585408210754,0.040944375000000005,61555,3325,False,gpt56_sol_opencode_high_video_20260924_214738_task_0033_7945,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/results/gpt56_sol_opencode_high_video_20260924_214738_task_0033_7945/task_task_0033.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_214738_task_0033_7945/task_0033_opencode_20260924_215801/result.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_214738_task_0033_7945/task_0033_opencode_20260924_215801,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_214738_task_0033_7945/task_0033_opencode_20260924_215801/agent_trajectory.log,/mnt/d/ShaderAgent/re/gamedevbench-environment/batch_runs/gpt56_sol_shader/workers/task_0033/console/task_0033_attempt_1.log,c9a46c8cae7e601e910cd8f1e1024bf79871597370c4a431abe697e755010554,250f93dcd8b2900a3929449fb254b5143f9d82d5b3f34f3efc918b369f9fe637,2026-09-24T13:47:37+00:00,2026-09-24T13:58:02+00:00,1,solver_incomplete
task_0057,gpt56_sol,openai/gpt-5.6-sol,,,completed,1,False,Main needs at least two Unit instances for testing,{},20,True,Implemented and verified the reusable Unit scene and `unit.gd`. Godot 4.4.1 loaded and rendered the project successfully with no script or parse errors.,231.06710982322693,0.035671125,63689,2771,False,gpt56_sol_opencode_high_video_20260924_215107_task_0057_9095_retry1,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/results/gpt56_sol_opencode_high_video_20260924_215107_task_0057_9095_retry1/task_task_0057.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_215107_task_0057_9095_retry1/task_0057_opencode_20260924_220151/result.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_215107_task_0057_9095_retry1/task_0057_opencode_20260924_220151,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_215107_task_0057_9095_retry1/task_0057_opencode_20260924_220151/agent_trajectory.log,/mnt/d/ShaderAgent/re/gamedevbench-environment/batch_runs/gpt56_sol_shader/workers/task_0057/console/task_0057_attempt_1.log,20ab6a3521c10492df4518123aae76b2277dda290490d9bd56eea92609608981,de834174bfe83a75853636430152234181fbe00d034e1b0989fbd895a177cc7d,2026-09-24T13:51:05+00:00,2026-09-24T14:01:54+00:00,1,official_fail_review_needed
task_0095,gpt56_sol,openai/gpt-5.6-sol,,,completed,1,False,"Shader code missing required parts: uniform sampler2D screen_texture: hint_screen_texture, filter_linear_mipmap, centered_uv.yx / curvature, step(abs(warped_uv.x), 1.0), step(abs(warped_uv.y), 1.0), sin(2.0 * warped_uv.y * 180.0), pow(abs(centered_uv), vec2(4.0)) / 3.0, textureLod(screen_texture, (warped_uv + 1.0) / 2.0, 0.2), COLOR = vec4(screen_color, 1.0)",{},,True,"Implemented and validated `screen_effect/screen_effect.gdshader` with Godot 4.4.1. The CRT effect compiles and renders correctly with curvature, cutoff, scanlines, vignette, and LOD blur.",300.442174911499,0.01836975,13758,1665,False,gpt56_sol_opencode_high_video_20260924_215805_task_0095_10135,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/results/gpt56_sol_opencode_high_video_20260924_215805_task_0095_10135/task_task_0095.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_215805_task_0095_10135/task_0095_opencode_20260924_220328/result.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_215805_task_0095_10135/task_0095_opencode_20260924_220328,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_215805_task_0095_10135/task_0095_opencode_20260924_220328/agent_trajectory.log,/mnt/d/ShaderAgent/re/gamedevbench-environment/batch_runs/gpt56_sol_shader/workers/task_0095/console/task_0095_attempt_1.log,53a790764762dc78429469ee50f5584f17d94c4c1120f84a017119f6d8fc4deb,0c711ba6185e9f65d2bf221d513ea51f21b3c3718ca71ebc6ce7c4589b00c373,2026-09-24T13:58:02+00:00,2026-09-24T14:03:29+00:00,1,official_fail_review_needed
task_0096,gpt56_sol,openai/gpt-5.6-sol,,,completed,1,False,Shader must use render_mode unshaded,{},50,True,"Implemented and validated:

- Added `assets/shaders/pixel_art.gdshader`
- Added `ScreenQuad` with a 1280x720 `QuadMesh` at `(640, 360)`
- Configured `ShaderMaterial` parameters:
  - `target_resolution = Vector2(320, 180)`
  - `colors_per_channel = 8.0`
- Verified the scene loads and renders successfully in Godot 4.4.1.",294.4423496723175,0.018416500000000002,17332,1625,False,gpt56_sol_opencode_high_video_20260924_220156_task_0096_11626,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/results/gpt56_sol_opencode_high_video_20260924_220156_task_0096_11626/task_task_0096.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_220156_task_0096_11626/task_0096_opencode_20260924_220712/result.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_220156_task_0096_11626/task_0096_opencode_20260924_220712,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_220156_task_0096_11626/task_0096_opencode_20260924_220712/agent_trajectory.log,/mnt/d/ShaderAgent/re/gamedevbench-environment/batch_runs/gpt56_sol_shader/workers/task_0096/console/task_0096_attempt_1.log,8384e9f15461853b4d77891725db8069b9b91ac10bb5eec69d8f0682f36c84cf,04145e43fa90e547e55e275e6eb0e054b4630e51165a486cbc22a59b21537246,2026-09-24T14:01:55+00:00,2026-09-24T14:07:14+00:00,1,official_fail_review_needed
task_0097,gpt56_sol,openai/gpt-5.6-sol,,,completed,1,False,VisualShader constants do not match DistortionUV example,{},49,True,"Configured [`scenes/main.tscn`](/workspace/scenes/main.tscn) with:

- `DistortionPreview` `TextureRect` under `Main`
- `shaderV_icon.png` texture
- `ShaderMaterial` using a `VisualShader`
- `DistortionUV` custom node
- Constants: wave X `7`, wave Y `5`, distortion X/Y `0.1`

Verified successfully in Godot 4.4.1 with a rendered screenshot showing the distorted icon.",503.25777673721313,0.0274475,52300,2091,False,gpt56_sol_opencode_high_video_20260924_220331_task_0097_11939,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/results/gpt56_sol_opencode_high_video_20260924_220331_task_0097_11939/task_task_0097.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_220331_task_0097_11939/task_0097_opencode_20260924_221217/result.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_220331_task_0097_11939/task_0097_opencode_20260924_221217,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_220331_task_0097_11939/task_0097_opencode_20260924_221217/agent_trajectory.log,/mnt/d/ShaderAgent/re/gamedevbench-environment/batch_runs/gpt56_sol_shader/workers/task_0097/console/task_0097_attempt_1.log,966415b14a9de5118004a30f4ffb9f746ec1fecd9aef7cc8ec9601da6bf7c009,404058068d43162847bfa5c7f391b0177753541a16fb756de7fb21988af615e3,2026-09-24T14:03:30+00:00,2026-09-24T14:12:19+00:00,1,official_fail_review_needed
task_0100,gpt56_sol,openai/gpt-5.6-sol,,,completed,1,False,Shader missing HQX marker: diag(,{},,False,OpenCode execution timed out after 600s,600.1048805713654,0.03723975,55838,3026,False,gpt56_sol_opencode_high_video_20260924_220715_task_0100_12728,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/results/gpt56_sol_opencode_high_video_20260924_220715_task_0100_12728/task_task_0100.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_220715_task_0100_12728/task_0100_opencode_20260924_221736/result.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_220715_task_0100_12728/task_0100_opencode_20260924_221736,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_220715_task_0100_12728/task_0100_opencode_20260924_221736/agent_trajectory.log,/mnt/d/ShaderAgent/re/gamedevbench-environment/batch_runs/gpt56_sol_shader/workers/task_0100/console/task_0100_attempt_1.log,96b2f9d690794dce257e333c1ce6f03937c75a7a017b96b1dac49954d79ba034,a4466d63b6d86b267a5d1949b4c4e7eca09d29e4db5bc1886a8b60a657e9f99a,2026-09-24T14:07:14+00:00,2026-09-24T14:17:39+00:00,1,solver_incomplete
task_0106,gpt56_sol,openai/gpt-5.6-sol,,,completed,1,True,Task completed successfully,{},60,False,OpenCode execution timed out after 600s,600.0787134170532,0.08098050000000001,134244,6420,False,gpt56_sol_opencode_high_video_20260924_221220_task_0106_13541,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/results/gpt56_sol_opencode_high_video_20260924_221220_task_0106_13541/task_task_0106.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_221220_task_0106_13541/task_0106_opencode_20260924_222240/result.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_221220_task_0106_13541/task_0106_opencode_20260924_222240,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_221220_task_0106_13541/task_0106_opencode_20260924_222240/agent_trajectory.log,/mnt/d/ShaderAgent/re/gamedevbench-environment/batch_runs/gpt56_sol_shader/workers/task_0106/console/task_0106_attempt_1.log,a4390ae1451f5523b81467062aec912499b4bc05cdb6882e57a0054e1f103e60,2feeaf0b3f6265799986b52eb0466867fb7b3bb606562f7f184679553e3dd5f0,2026-09-24T14:12:19+00:00,2026-09-24T14:22:49+00:00,0,official_pass
task_0107,gpt56_sol,openai/gpt-5.6-sol,,,completed,1,False,Surface material is not a ShaderMaterial,{},55,False,OpenCode execution timed out after 600s,600.0947089195251,0.047208875000000004,42871,4185,False,gpt56_sol_opencode_high_video_20260924_221741_task_0107_15008,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/results/gpt56_sol_opencode_high_video_20260924_221741_task_0107_15008/task_task_0107.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_221741_task_0107_15008/task_0107_opencode_20260924_222801/result.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_221741_task_0107_15008/task_0107_opencode_20260924_222801,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_221741_task_0107_15008/task_0107_opencode_20260924_222801/agent_trajectory.log,/mnt/d/ShaderAgent/re/gamedevbench-environment/batch_runs/gpt56_sol_shader/workers/task_0107/console/task_0107_attempt_1.log,ec05bdc4ead8752330dc4a9d2f048d6ee013df15b1f263ff4dd8fc658b51ddf6,3f855be8dec6b0c3d412979d43c9c320f2fdd3979c79847fadcf611ebf44cf30,2026-09-24T14:17:39+00:00,2026-09-24T14:28:02+00:00,1,solver_incomplete
task_0110,gpt56_sol,openai/gpt-5.6-sol,,,completed,1,True,Task completed successfully,{},80,True,"Implemented and verified the Godot scene.

- Added triplanar shader at `scripts/triplanar_basic.gdshader`
- Assigned rock texture to `texture_x`
- Added `ShaderMaterial` to the `SphereMesh`
- Added camera, lighting, environment, and main scene configuration
- Godot 4.4.1 shader/runtime validation passed
- Rendered preview verified: `triplanar_preview00000001.png`",442.83969926834106,0.03494575,52846,2834,False,gpt56_sol_opencode_high_video_20260924_222251_task_0110_16723,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/results/gpt56_sol_opencode_high_video_20260924_222251_task_0110_16723/task_task_0110.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_222251_task_0110_16723/task_0110_opencode_20260924_223036/result.json,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_222251_task_0110_16723/task_0110_opencode_20260924_223036,/mnt/d/ShaderAgent/re/gamedevbench-main/gamedevbench-main/tasks/test_result/gpt56_sol_opencode_high_video_20260924_222251_task_0110_16723/task_0110_opencode_20260924_223036/agent_trajectory.log,/mnt/d/ShaderAgent/re/gamedevbench-environment/batch_runs/gpt56_sol_shader/workers/task_0110/console/task_0110_attempt_1.log,0fad88610f20dd08dafb4cbaf1ac8255b24e1793355109899236dce9a6ba60f5,74269d13bcff6c18bae4a67a47a6b6c2b71acfeff676de9e9b00b02c47b2d20c,2026-09-24T14:22:49+00:00,2026-09-24T14:30:38+00:00,0,official_pass
