task_name,official_agent,official_model,official_effort,official_runtime_video,solver_success,validation_success,failure_message,instruction,validator_path,validator_archive,reference_path,official_result_dir,official_result_artifact_present,review_status,review_category,behavioral_countertest,evidence_path
task_0002,codex,gpt-6-astra,high,True,True,False,Projectile must react to enemies inside _on_area_entered,"Make the projectile advance the Shoot Em Up quest by calling QuestManager.progress_quest with the kill step each time it overlaps an enemy, queue_free itself after the hit, and ensure it also removes itself when it travels far off screen (50 pixels).",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0002\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0002.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0002,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0002_codex_20260907_071751,False,unreviewed,,,
task_0003,codex,gpt-6-astra,high,True,True,False,"'explode' animation should include later smoke frames (expect region 384,128,64,64)","Create a Player scene with a CharacterBody2D root named Player, add an AnimatedSprite2D that autoplay the default animation and includes looping default/left/right jet frames from assets/sprites/sprites-Sheet.png and a non-looping explode sequence from the smoke sprites at assets/sprites/Free Smoke Fx  Pixel 04.png, and attach a 16×16 rectangular CollisionShape2D that fits the jet.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0003\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0003.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0003,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0003_codex_20260907_071752,False,unreviewed,,,
task_0019,codex,gpt-6-astra,high,True,True,False,MuzzleFireLeft must use the muzzle flash shader material,"Create a layered muzzle flash prefab: edit scenes/effects/muzzle_flash_effect.tscn so the root Node3D uses scripts/generic_effect_handler.gd, targets its Optional Light export at an OmniLight child named MuzzleFlash, and keeps a 0.2 second fade. Add SmokeParticles configured with zero gravity and a StandardMaterial3D mesh using a radial GradientTexture2D. Simulate a volumetric smoke puff via using particle billboard mode for billboarding, plus a pair of opposing GPUParticles3D named MuzzleFireLeft and MuzzleFireRight that emit one-shot bursts. Each muzzle fire particle system must rely on the provided assets/shaders/muzzle_flash.gdshader ShaderMaterial and include a draw-pass QuadMesh so the burst renders from both sides. Wire the scene into scenes/main.tscn so Main instantiates the finished effect.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0019\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0019.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0019,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0019_codex_20260907_072211,False,unreviewed,,,
task_0026,codex,gpt-6-astra,high,True,True,False,Export 'camera_shake_noise_panning_speed' missing on PlayerBody,"In scenes/player_body.tscn, restructure PlayerBody so CameraNode contains a CameraActual Node3D with a Camera3D child, assign those nodes to the player_body.gd exports, and implement a noise-based camera shake: expose a FastNoiseLite plus numeric exports for noise_panning_speed (30), max_power (0.15), blend_speed (7), return_strength (5), noise_strength (0.2), falling_bias (1.0), falling_strength_falloff (2.0), falling_max_strength (1.0), and jumping_strength (0.2). Track camera_shake_position/time_since_started, lerp CameraActual toward camera_shake_position plus sampled noise every physics frame, decay back to origin, clamp impulses to the max power, add an upward kick inside impulse_camera_with_recoil, and implement apply_landing_impulse() so downward velocities below the bias trigger a proportional drop impulse. In the PlayerBody scene, create a FastNoiseLite resource with default values and wire it to the camera shake export.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0026\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0026.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0026,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0026_codex_20260907_072338,False,unreviewed,,,
task_0027,codex,gpt-6-astra,high,True,True,False,Impulse direction should push camera backwards along -Z,"In scenes/weapon_rig.tscn, expose WeaponEffects with BarrelEnd/BarrelRayCast exports plus a camera_shake_power export set to 0.3, declare the on_shot_camera_impulse(Vector3,float) signal in scripts/weapon_effects.gd, and emit it from fire_weapon() using the normalized -BarrelRayCast global forward direction and the exported power. Update player_body.gd to include apply_weapon_impulse() that forwards to impulse_camera_with_recoil(), and connect the weapon signal to that method inside scenes/main.tscn so firing the weapon instantly kicks the PlayerBody camera backward.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0027\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0027.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0027,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0027_codex_20260907_072312,False,unreviewed,,,
task_0028,codex,gpt-6-astra,high,True,True,False,PillarPoint node missing,"Create a reusable FlashlightPoint marker scene that uses scripts/flashlight_point.gd to expose a Priority enum (low, medium, high), a has_been_targeted flag, and a reset_target_state() helper, then instance three FlashlightPoint nodes directly under Main in scenes/main.tscn. Place the nodes at (8.36166, 1.81915, -12.0301), (-16.6577, 2.41884, -39.9426), and (23.0185, 2.63927, -86.6948), keep them in the FlashlightPoints group, and set their priorities to medium, low, and high respectively.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0028\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0028.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0028,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0028_codex_20260907_072249,False,unreviewed,,,
task_0030,codex,gpt-6-astra,high,True,True,False,Main scene missing,"Under Main, add a SunshineCloudsDriver node that uses addons/SunshineClouds2/SunshineCloudsDriver.gd, enable Update Continuously, and assign res://assets/clouds/tutorial_clouds_settings.tres to its clouds_resource while reusing the WorldEnvironment environment as ambience_sample_environment. Register the existing DirectionalLight3D and OmniLight3D inside tracked_directional_lights and tracked_point_lights (with a single shadow step entry set to 32) so the clouds use those lights, keep the OmniLight range at 20000, and extend Camera3D's far clip plane to 400000. Wire the same clouds resource into the WorldEnvironment's compositor effect list so the effect renders, and edit assets/clouds/tutorial_clouds_settings.tres to match the reference settings: cloud coverage 0.874, atmospheric density 0.617977, cloud ambient color pure white, ambient tint Color(0.131626, 0.201524, 0.241773, 1), atmosphere color Color(0.696127, 0.832325, 0.989334, 1), and a 512 km mask width so the painted area covers the entire level.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0030\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0030.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0030,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0030_codex_20260907_072559,False,unreviewed,,,
task_0033,codex,gpt-6-astra,high,True,True,False,ArcingChunks must use a StandardMaterial3D override,"Finish the Explosion hierarchy so the ArcingChunks emitter works as wanted: set ArcingChunks to one_shot, lifetime 3s, randomness about 0.7, give it a QuadMesh draw pass and a StandardMaterial3D billboard with bright emission, and drive it with a ParticleProcessMaterial that fires from the default spread at 8–12 m/s, enables rigid collision with bounce 1.0, uses collision_use_scale, and sets a constant sub emitter frequency of 100 Hz with the sub_emitter path pointing to ../ArcingChunkSmoke. Add the GPUParticlesCollisionBox3D named ArcingChunkCollision, positioned just below the emitter and scaled to 40×1×40 so debris collides as shown in the collision segment of the video. Configure ArcingChunkSmoke to emit ~1000 particles with a ShaderMaterial referencing res://assets/shaders/SmokeShader.gdshader (NoiseTexture = res://assets/shaders/NoiseResource.tres) and a ParticleProcessMaterial that rotates sprites, uses the warm gradient/curve combo from the repo, lifetime 3 s, gravity (0,1,0), linear accel ~2, scale curve peaks between 8 and 15, and turbulence influence about 0.005–0.01 so the smoke puffs appear along the chunk trails.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0033\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0033.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0033,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0033_codex_20260907_162442,False,unreviewed,,,
task_0034,codex,gpt-6-astra,high,True,True,False,debug dictionary missing steer entry,"Inside the SteerComponent script, capture the current velocity, scaled desired velocity, and steering force in a debug dictionary whenever debugging is enabled, and queue a redraw every frame so the overlay can update.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0034\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0034.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0034,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0034_codex_20260907_072346,False,unreviewed,,,
task_0042,codex,gpt-6-astra,high,True,True,False,new_ball must trigger camera shake velocity change,"Add a Camera2D node centered on the playfield, attach a Camera2D.gd script that stores displacement, velocity, and the SPRING=900, DAMP=18, MULTIPLIER=20 constants, and implement a shake(right_pointed) method that reverses direction based on who scored. Update pong.gd so new_ball() keeps respawning the Ball and also calls Camera2D.shake() after every score. In _physics_process(), apply spring-damper physics to update velocity and displacement, then set position.x = displacement to drive the horizontal spring motion.",D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0042\scripts\test.gd,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0042.zip,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks_gt\task_0042,tasks/test_result/gpt6_astra_codex_runtime_video_high_full_333/task_0042_codex_20260907_072552,False,unreviewed,,,
