task_name,name,instruction,explicit_shader_terms,shader_file_count,shader_files,candidate,category
task_0002,Projectile Step Tracker,"Make the projectile advance the Shoot Em Up quest by calling QuestManager.progress_quest with the kill step each time it overlaps an enemy, queue_free itself after the hit, and ensure it also removes itself when it travels far off screen (50 pixels).",,0,,False,not_shader
task_0003,River Raid Player Jet Scene,"Create a Player scene with a CharacterBody2D root named Player, add an AnimatedSprite2D that autoplay the default animation and includes looping default/left/right jet frames from assets/sprites/sprites-Sheet.png and a non-looping explode sequence from the smoke sprites at assets/sprites/Free Smoke Fx  Pixel 04.png, and attach a 16×16 rectangular CollisionShape2D that fits the jet.",,0,,False,not_shader
task_0004,River Raid Missile Projectile,"Create a Missile scene with an Area2D root named Missile, set its collision layer to 4 and mask to 26, add a Sprite2D that enables region mode to crop the 4×4 missile sprite from sprites-Sheet.png at region Rect2(69, 0, 4, 4), attach a 4×4 rectangular CollisionShape2D, and include a VisibleOnScreenNotifier2D scaled to Vector2(0.2, 0.2).",,0,,False,not_shader
task_0005,River Raid Power HUD,"Create a UI scene with a CanvasLayer root named UI. Add a ControlPanelRect ColorRect (with bottom-wide anchor mode and custom minimum height of 58) tinted grey (rgba = (0.6, 0.6, 0.6, 1.0)), place Lives: 3 and Points: 0 labels inside it (with names LivesLabel and PointsLabel), and add PowerMeter and PowerIndicator TextureRects inside it that use Fuel-Meter.png and Fuel-Indicator.png respectively with the meter being bottom-anchored and centered. Include a hidden GameOverView CenterContainer containing a ColorRect (with name ColorRect), and add a GAME OVER label inside the ColorRect (with name Label).",,0,,False,not_shader
task_0006,Unit AI Debug Label,"In res://scenes/battle_unit/battle_unit.tscn add a Label child named FSMDebugLabel above the sprite (offsets -65,-47 to 65,-29) with centered text reading IDLE, then add a UnitAI node that uses res://scenes/battle_unit/ai/unit_ai.gd and wire its exported debug_label to FSMDebugLabel and actor to the BattleUnit root so the finite state machine component can update the on-screen state indicator.",,0,,False,not_shader
task_0007,CardPile Resource Utilities,"Implement res://scripts/card_pile.gd for the Card Pile resource. Register class_name CardPile, export an Array[Card], and declare the card_pile_size_changed(cards_amount) signal. Provide helpers empty(), draw_card(), add_card(), shuffle(), clear(), and _to_string(). draw_card() must pop the front card, emit the new count, and return the card (or null if empty). add_card() appends a card and emits the new size, shuffle() randomizes the Array in place, clear() empties the pile and emits zero, and _to_string() should list each card as 'index: card_id' on its own line (this should be human readable, so start with 1 index). Use the supplied Card resource for typing.",,0,,False,not_shader
task_0008,Stats UI Overlay,"Turn res://scenes/stats_ui.tscn into the StatsUI overlay from the tutorial. Use an HBoxContainer root anchored to the center (about 90×16) with theme res://assets/main_theme.tres and alignment set to Center. Add two child HBoxContainers named Block and Health; set Block's separation override to 0 and Health's to 2. Inside each container create a TextureRect and a Label: BlockImage must use res://assets/sprites/tile_0102.png, HealthImage must use res://assets/sprites/heart.png, and both TextureRects should keep aspect (stretch_mode = 5). Give the labels unique_name_in_owner=true, center their horizontal and vertical alignment, and seed placeholder numbers. Attach res://scripts/stats_ui.gd, register class_name StatsUI, and implement update_stats(stats: Stats) so it writes the block/health values to the labels and hides each container when its value is zero.",,0,,False,not_shader
task_0009,Unsafe Platform Warning Cycle,"Clone the SafePlatform scene into an UnsafePlatform that warns players before it drops them. Add an AnimationPlayer with an UnsafeCycle animation that autoplays, keyframe Area2D.modulate through calm white, brighter orange, and a red danger state, and in the same animation toggle Area2D.process_mode to PROCESS_MODE_DISABLED during the red window so the safety area truly disappears.",,0,,False,not_shader
task_0010,Create Pickup Collectible,"Build res://scenes/entities/world/pickup.tscn with an Area2D root named Pickup that uses res://scripts/entities/world/pickup.gd, add a Sprite2D using assets/sprites/pickups.png, a CollisionShape2D using an 8×8 RectangleShape2D, and an AudioStreamPlayer on the SFX bus that plays assets/audio/sfx/pickup.wav. Connect the root's body_entered signal to _on_body_entered, and in that method ensure Tank bodies call Tank.collect(self) before the pickup plays the audio, waits for it to finish, and queue_frees itself. Instance the pickup in res://scenes/main.tscn with the name 'Pickup' at position (64, 0) with scale (4, 4).",,0,,False,not_shader
task_0011,Configure Bullet Scene Signals,"Create res://scenes/entities/tank/weapon/bullet.tscn with an Area2D root named Bullet that uses res://scripts/entities/tank/weapon/bullet.gd, set its collision_layer to 16 and collision_mask to 44, add a 3×3 rectangular CollisionShape2D plus a Sprite2D with a texture, and connect both area_entered and body_entered signals to the Bullet script handlers.",,0,,False,not_shader
task_0012,Implement Bullet Collision Cleanup,"Update res://scripts/entities/tank/weapon/bullet.gd so the Bullet has const SPEED = 500, stores its travel direction and firing tank, moves every physics frame by direction.normalized() * SPEED * delta, queues itself when area_entered fires, and on body_entered destroys Crate bodies before calling queue_free().",,0,,False,not_shader
task_0013,Implement FSM Foundations,"Implement res://components/state.gd so State._init(new_actor) stores the provided actor reference, and complete res://components/finite_state_machine.gd by declaring a state_changed(new_state) signal plus a change_state(new_state) method that calls exit() on the previous state, enter() on the new state, updates the state property, and emits state_changed after every transition.",,0,,False,not_shader
