task_name,failure_message,validator_found,validator_path,method_name_guard,direct_handler_call,exact_text_comparison,exact_resource_path,explicit_node_path,screening_priority
task_0002,Projectile must react to enemies inside _on_area_entered,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0002\scripts\test.gd,1,1,0,3,3,high
task_0003,"'explode' animation should include later smoke frames (expect region 384,128,64,64)",True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0003\scripts\test.gd,0,0,0,1,2,normal
task_0019,MuzzleFireLeft must use the muzzle flash shader material,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0019\scripts\test.gd,0,0,0,1,4,normal
task_0026,Export 'camera_shake_noise_panning_speed' missing on PlayerBody,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0026\scripts\test.gd,0,0,0,1,3,normal
task_0027,Impulse direction should push camera backwards along -Z,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0027\scripts\test.gd,2,0,0,1,3,high
task_0028,PillarPoint node missing,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0028\scripts\test.gd,1,0,0,1,2,high
task_0030,Main scene missing,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0030\scripts\test.gd,0,0,0,0,5,normal
task_0033,ArcingChunks must use a StandardMaterial3D override,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0033\scripts\test.gd,0,0,0,0,4,normal
task_0034,debug dictionary missing steer entry,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0034\scripts\test.gd,1,0,0,0,3,high
task_0042,new_ball must trigger camera shake velocity change,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0042\scripts\test.gd,1,1,0,0,2,high
task_0048,Draggable without overlaps must call self_destruct and queue_free,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0048\scripts\test.gd,2,2,0,1,5,high
task_0052,Failed to load Player scene.,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0052\scripts\test.gd,1,0,0,0,0,high
task_0055,player.gd must reference snappedf,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0055\scripts\test.gd,0,0,0,0,3,normal
task_0057,Main needs at least two Unit instances for testing,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0057\scripts\test.gd,0,0,0,1,8,normal
task_0058,Label2 text incorrect,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0058\scripts\test.gd,0,0,0,0,11,normal
task_0060,Minimap must define set_zoom,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0060\scripts\test.gd,2,3,0,0,7,high
task_0063,Top margin left padding must be 20,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0063\scripts\test.gd,0,0,3,0,15,normal
task_0068,Crate must be destroyed after bullet hit,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0068\scripts\test.gd,3,2,0,2,1,high
task_0069,Water requires a ShaderMaterial override (via material_override or surface_material_override),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0069\scripts\test.gd,0,0,0,0,6,normal
task_0070,Water requires a ShaderMaterial override (via material_override or surface_material_override),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0070\scripts\test.gd,0,0,0,0,6,normal
task_0071,Water requires a ShaderMaterial override (via material_override or surface_material_override),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0071\scripts\test.gd,0,0,0,0,6,normal
task_0072,Water requires a ShaderMaterial override (via material_override or surface_material_override),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0072\scripts\test.gd,0,0,0,0,6,normal
task_0073,Water requires a ShaderMaterial override (via material_override or surface_material_override),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0073\scripts\test.gd,0,0,0,0,6,normal
task_0075,Water requires a ShaderMaterial override (via material_override or surface_material_override),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0075\scripts\test.gd,0,0,0,0,6,normal
task_0076,Water requires a ShaderMaterial override (via material_override or surface_material_override),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0076\scripts\test.gd,0,0,0,0,6,normal
task_0077,Water requires a ShaderMaterial override (via material_override or surface_material_override),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0077\scripts\test.gd,0,0,0,0,6,normal
task_0078,Water requires a ShaderMaterial override (via material_override or surface_material_override),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0078\scripts\test.gd,0,0,0,0,6,normal
task_0082,Run animations must include the directional frames,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0082\scripts\test.gd,0,0,0,0,4,normal
task_0087,RectangleShape2D size must be 32x32 pixels,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0087\scripts\test.gd,0,0,0,0,6,normal
task_0089,Label text incorrect,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0089\scripts\test.gd,0,0,0,0,11,normal
task_0093,ContinueButton size_flags_horizontal must be Expand Fill,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0093\scripts\test.gd,1,0,5,0,4,high
task_0095,"Shader code missing required parts: uniform sampler2D screen_texture: hint_screen_texture, filter_linear_mipmap, step(abs(warped_uv.x), 1.0), step(abs(warped_uv.y), 1.0), sin(2.0 * warped_uv.y * 180.0), pow(abs(centered_uv), vec2(4.0)) / 3.0, textureLod(screen_texture, (warped_uv + 1.0) / 2.0, 0.2), COLOR = vec4(screen_color, 1.0)",True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0095\scripts\test.gd,0,0,0,0,3,normal
task_0107,Surface material is not a ShaderMaterial,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0107\scripts\test.gd,1,0,0,0,0,high
task_0108,Tank must enable and disable particles while moving,True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0108\scripts\test.gd,0,0,0,2,3,normal
task_0121,Panel background color must be RPG blue (#1743 8C),True,D:\ShaderAgent\re\gamedevbench-main\gamedevbench-main\tasks\task_0121\scripts\test.gd,0,0,0,0,9,normal
